id; name; value
1; Нидерланды; {"name": "Нидерланды", "capital": "Амстердам"}
2; Андорра; {"name": "Андорра", "capital": "Андорра-ла-Велья"}
3; Греция; {"name": "Греция", "capital": "Афины"}
4; Сербия; {"name": "Сербия", "capital": "Белград"}
5; Германия; {"name": "Германия", "capital": "Берлин"}
6; Швейцария; {"name": "Швейцария", "capital": "Берн"}
7; Словакия; {"name": "Словакия", "capital": "Братислава"}
8; Бельгия; {"name": "Бельгия", "capital": "Брюссель"}
9; Венгрия; {"name": "Венгрия", "capital": "Будапешт"}
10; Румыния; {"name": "Румыния", "capital": "Бухарест"}
11; Лихтенштейн; {"name": "Лихтенштейн", "capital": "Вадуц"}
12; Мальта; {"name": "Мальта", "capital": "Валлетта"}
13; Польша; {"name": "Польша", "capital": "Варшава"}
14; Ватикан; {"name": "Ватикан", "capital": "Ватикан"}
15; Австрия; {"name": "Австрия", "capital": "Вена"}
16; Литва; {"name": "Литва", "capital": "Вильнюс"}
17; Ирландия; {"name": "Ирландия", "capital": "Дублин"}
18; Хорватия; {"name": "Хорватия", "capital": "Загреб"}
19; Украина; {"name": "Украина", "capital": "Киев"}
20; Молдавия; {"name": "Молдавия", "capital": "Кишинёв"}
21; Дания; {"name": "Дания", "capital": "Копенгаген"}
22; Португалия; {"name": "Португалия", "capital": "Лиссабон"}
23; Великобритания; {"name": "Великобритания", "capital": "Лондон"}
24; Словения; {"name": "Словения", "capital": "Любляна"}
25; Люксембург; {"name": "Люксембург", "capital": "Люксембург"}
26; Испания; {"name": "Испания", "capital": "Мадрид"}
27; Белоруссия; {"name": "Белоруссия", "capital": "Минск"}
28; Монако; {"name": "Монако", "capital": "Монако"}
29; Россия; {"name": "Россия", "capital": "Москва"}
30; Норвегия; {"name": "Норвегия", "capital": "Осло"}
31; Франция; {"name": "Франция", "capital": "Париж"}
32; Черногория; {"name": "Черногория", "capital": "Подгорица"}
33; Чехия; {"name": "Чехия", "capital": "Прага"}
34; Исландия; {"name": "Исландия", "capital": "Рейкьявик"}
35; Латвия; {"name": "Латвия", "capital": "Рига"}
36; Италия; {"name": "Италия", "capital": "Рим"}
37; Сан-Марино; {"name": "Сан-Марино", "capital": "Сан-Марино"}
38; Босния и Герцеговина; {"name": "Босния и Герцеговина", "capital": "Сараево"}
39; Северная Македония; {"name": "Северная Македония", "capital": "Скопье"}
40; Болгария; {"name": "Болгария", "capital": "София"}
41; Швеция; {"name": "Швеция", "capital": "Стокгольм"}
42; Эстония; {"name": "Эстония", "capital": "Таллин"}
43; Албания; {"name": "Албания", "capital": "Тирана"}
44; Финляндия; {"name": "Финляндия", "capital": "Хельсинки"}
45; Республика Косово; {"name": "Республика Косово", "capital": "Приштина"}
46; Парагвай; {"name": "Парагвай", "capital": "Асунсьон"}
47; Сент-Китс и Невис; {"name": "Сент-Китс и Невис", "capital": "Бастер"}
48; Белиз; {"name": "Белиз", "capital": "Бельмопан"}
49; Колумбия; {"name": "Колумбия", "capital": "Богота"}
50; Бразилия; {"name": "Бразилия", "capital": "Бразилиа"}
51; Барбадос; {"name": "Барбадос", "capital": "Бриджтаун"}
52; Аргентина; {"name": "Аргентина", "capital": "Буэнос-Айрес"}
53; США; {"name": "США", "capital": "Вашингтон"}
54; Куба; {"name": "Куба", "capital": "Гавана"}
55; Гватемала; {"name": "Гватемала", "capital": "Гватемала"}
56; Гайана; {"name": "Гайана", "capital": "Джорджтаун"}
57; Венесуэла; {"name": "Венесуэла", "capital": "Каракас"}
58; Сент-Люсия; {"name": "Сент-Люсия", "capital": "Кастри"}
59; Сент-Винсент и Гренадины; {"name": "Сент-Винсент и Гренадины", "capital": "Кингстаун"}
60; Ямайка; {"name": "Ямайка", "capital": "Кингстон"}
61; Эквадор; {"name": "Эквадор", "capital": "Кито"}
62; Перу; {"name": "Перу", "capital": "Лима"}
63; Никарагуа; {"name": "Никарагуа", "capital": "Манагуа"}
64; Мексика; {"name": "Мексика", "capital": "Мехико"}
65; Уругвай; {"name": "Уругвай", "capital": "Монтевидео"}
66; Багамские Острова; {"name": "Багамские Острова", "capital": "Нассау"}
67; Канада; {"name": "Канада", "capital": "Оттава"}
68; Панама; {"name": "Панама", "capital": "Панама"}
69; Суринам; {"name": "Суринам", "capital": "Парамарибо"}
70; Гаити; {"name": "Гаити", "capital": "Порт-о-Пренс"}
71; Тринидад и Тобаго; {"name": "Тринидад и Тобаго", "capital": "Порт-оф-Спейн"}
72; Доминика; {"name": "Доминика", "capital": "Розо"}
73; Сальвадор; {"name": "Сальвадор", "capital": "Сан-Сальвадор"}
74; Коста-Рика; {"name": "Коста-Рика", "capital": "Сан-Хосе"}
75; Доминиканская Республика; {"name": "Доминиканская Республика", "capital": "Санто-Доминго"}
76; Чили; {"name": "Чили", "capital": "Сантьяго"}
77; Антигуа и Барбуда; {"name": "Антигуа и Барбуда", "capital": "Сент-Джонс"}
78; Гренада; {"name": "Гренада", "capital": "Сент-Джорджес"}
79; Боливия; {"name": "Боливия", "capital": "Сукре"}
80; Гондурас; {"name": "Гондурас", "capital": "Тегусигальпа"}
81; Самоа; {"name": "Самоа", "capital": "Апиа"}
82; Новая Зеландия; {"name": "Новая Зеландия", "capital": "Веллингтон"}
83; Австралия; {"name": "Австралия", "capital": "Канберра"}
84; Маршалловы Острова; {"name": "Маршалловы Острова", "capital": "Маджуро"}
85; Палау; {"name": "Палау", "capital": "Нгерулмуд"}
86; Тонга; {"name": "Тонга", "capital": "Нукуалофа"}
87; Микронезия; {"name": "Микронезия", "capital": "Паликир"}
88; Вануату; {"name": "Вануату", "capital": "Порт-Вила"}
89; Папуа — Новая Гвинея; {"name": "Папуа — Новая Гвинея", "capital": "Порт-Морсби"}
90; Фиджи; {"name": "Фиджи", "capital": "Сува"}
91; Тувалу; {"name": "Тувалу", "capital": "Фунафути"}
92; Соломоновы Острова; {"name": "Соломоновы Острова", "capital": "Хониара"}
93; Кирибати; {"name": "Кирибати", "capital": "Южная Тарава"}
